Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance,Realised volatility
8,Short,2025-01-08 01:50:07+00:00,5966.75,2025-01-09 02:15:13+00:00,5947.5,No,3850.0,80,11.926047332717006
9,Long,2025-01-09 02:15:13+00:00,5947.5,2025-01-09 02:15:13+00:00,5941.25,No,-1250.0,80,7.904945473746309
10,Short,2025-01-10 04:20:18+00:00,5941.25,2025-01-10 10:10:03+00:00,5938.5,No,550.0,80,3.2178574588161606
11,Long,2025-01-10 10:10:03+00:00,5938.5,2025-01-10 15:10:00+00:00,5858.0,Yes,-16100.0,80,24.54020683312244
12,Short,2025-01-13 07:50:03+00:00,5841.25,2025-01-14 03:20:01+00:00,5888.75,No,-9500.0,80,28.394906943653734
13,Long,2025-01-14 03:20:01+00:00,5888.75,2025-01-14 03:20:01+00:00,5891.5,No,550.0,80,15.232640501418953
14,Short,2025-01-14 21:50:12+00:00,5891.5,2025-01-15 13:50:00+00:00,5973.5,Yes,-16400.0,80,13.628423635488083
15,Long,2025-01-15 18:15:00+00:00,5977.5,2025-01-15 18:15:00+00:00,6015.75,No,7650.0,80,5.651536254055625
16,Short,2025-01-16 07:45:00+00:00,6015.75,2025-01-16 12:15:03+00:00,6000.0,No,3150.0,80,4.681051962406258
17,Long,2025-01-16 12:15:03+00:00,6000.0,2025-01-16 12:15:03+00:00,5985.25,No,-2950.0,80,9.23086580096684
18,Short,2025-01-17 02:25:00+00:00,5985.25,2025-01-17 20:05:00+00:00,6035.0,No,-9950.0,80,24.406205026757682
19,Long,2025-01-17 20:05:00+00:00,6035.0,2025-01-17 20:05:00+00:00,6041.0,No,1200.0,80,4.782347286286003
20,Short,2025-01-20 07:55:09+00:00,6041.0,2025-01-20 12:15:10+00:00,6032.5,No,1700.0,80,1.9561739964466496
21,Long,2025-01-20 12:15:10+00:00,6032.5,2025-01-20 12:15:10+00:00,6060.75,No,5650.0,80,12.072787725608114
22,Short,2025-01-21 10:15:02+00:00,6060.75,2025-01-22 06:05:00+00:00,6102.75,No,-8400.0,80,18.059758091962813
23,Long,2025-01-22 06:05:00+00:00,6102.75,2025-01-22 06:05:00+00:00,6115.0,No,2450.0,80,8.204137049587375
24,Short,2025-01-23 13:00:02+00:00,6115.0,2025-01-24 03:45:04+00:00,6146.75,No,-6350.0,80,13.308628257824019
25,Long,2025-01-24 03:45:04+00:00,6146.75,2025-01-24 03:45:04+00:00,6157.25,No,2100.0,80,2.9075702748048866
26,Short,2025-01-24 14:55:00+00:00,6157.25,2025-01-24 19:00:00+00:00,6128.25,No,5800.0,80,6.58565230835417
27,Long,2025-01-24 19:00:00+00:00,6128.25,2025-01-27 06:40:00+00:00,6047.0,Yes,-16250.0,80,24.646504420951786
28,Short,2025-01-27 12:40:01+00:00,5995.0,2025-01-28 04:10:00+00:00,6043.0,No,-9600.0,80,16.166993473172347
29,Long,2025-01-28 04:10:00+00:00,6043.0,2025-01-28 04:10:00+00:00,6061.5,No,3700.0,80,7.648387839176406
30,Short,2025-01-28 09:30:01+00:00,6061.5,2025-01-28 13:50:00+00:00,6053.75,No,1550.0,80,7.047168903542244
31,Long,2025-01-28 13:50:00+00:00,6053.75,2025-01-28 13:50:00+00:00,6078.5,No,4950.0,80,15.343319647184845
32,Short,2025-01-30 00:35:00+00:00,6078.5,2025-01-30 07:00:00+00:00,6088.25,No,-1950.0,80,3.6153293732185
33,Long,2025-01-30 07:00:00+00:00,6088.25,2025-01-30 07:00:00+00:00,6111.0,No,4550.0,80,9.218732211367552
34,Short,2025-01-30 20:15:00+00:00,6111.0,2025-01-31 13:45:01+00:00,6125.5,No,-2900.0,80,9.77387590444147
35,Long,2025-01-31 13:45:01+00:00,6125.5,2025-02-02 23:05:00+00:00,5958.25,Yes,-33450.0,80,34.32922342273534
