Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
121,Short,2024-02-01 03:10:00,4883.75,2024-02-01 03:10:00,4875.5,No,1650.0,7.5
123,Long,2024-02-01 08:10:00,4875.5,2024-02-01 21:30:00,4925.0,No,9900.0,7.5
125,Short,2024-02-01 21:30:00,4925.0,2024-02-01 22:05:00,4938.5,Yes,-2700.0,7.5
127,Long,2024-02-02 04:30:00,4955.25,2024-02-02 14:30:00,4937.5,Yes,-3550.0,7.5
129,Short,2024-02-02 19:10:00,4977.0,2024-02-02 20:05:00,4985.25,Yes,-1650.0,7.5
131,Long,2024-02-05 01:15:00,4973.0,2024-02-05 04:20:00,4965.0,Yes,-1600.0,7.5
133,Short,2024-02-05 20:45:00,4976.5,2024-02-05 20:45:00,4961.0,No,3100.0,7.5
135,Long,2024-02-06 01:55:00,4961.0,2024-02-07 02:40:00,4981.75,No,4150.0,7.5
137,Short,2024-02-07 02:40:00,4981.75,2024-02-07 02:40:00,4975.0,No,1350.0,7.5
139,Long,2024-02-07 06:15:00,4975.0,2024-02-07 14:35:00,4989.75,No,2950.0,7.5
141,Short,2024-02-07 14:35:00,4989.75,2024-02-07 15:25:00,4997.5,Yes,-1550.0,7.5
143,Long,2024-02-08 11:50:00,5009.0,2024-02-08 17:00:00,5011.25,No,450.0,7.5
145,Short,2024-02-08 17:00:00,5011.25,2024-02-08 17:00:00,5014.5,No,-650.0,7.5
147,Long,2024-02-09 03:20:00,5014.5,2024-02-09 09:30:00,5023.0,No,1700.0,7.5
149,Short,2024-02-09 09:30:00,5023.0,2024-02-09 14:30:00,5035.0,Yes,-2400.0,7.5
151,Long,2024-02-12 01:50:00,5044.0,2024-02-12 17:20:00,5058.5,No,2900.0,7.5
153,Short,2024-02-12 17:20:00,5058.5,2024-02-12 17:20:00,5040.25,No,3650.0,7.5
155,Long,2024-02-12 21:25:00,5040.25,2024-02-12 22:20:00,5032.5,Yes,-1550.0,7.5
157,Short,2024-02-14 01:20:00,4969.75,2024-02-14 08:10:00,4979.75,Yes,-2000.0,7.5
159,Long,2024-02-14 15:00:00,4992.0,2024-02-14 17:00:00,4983.0,Yes,-1800.0,7.5
161,Short,2024-02-15 00:35:00,5018.5,2024-02-15 00:35:00,5015.25,No,650.0,7.5
163,Long,2024-02-15 03:45:00,5015.25,2024-02-16 10:00:00,5053.5,No,7650.0,7.5
165,Short,2024-02-16 10:00:00,5053.5,2024-02-16 10:00:00,5037.25,No,3250.0,7.5
167,Long,2024-02-16 14:35:00,5037.25,2024-02-16 15:50:00,5022.5,Yes,-2950.0,7.5
1,Short,2023-12-18 01:30:00,4777.0,2023-12-18 01:30:00,4774.5,No,500.0,12.5
3,Long,2023-12-18 09:20:00,4774.5,2023-12-19 16:30:00,4812.25,No,7550.0,12.5
5,Short,2023-12-19 16:30:00,4812.25,2023-12-19 16:30:00,4811.75,No,100.0,12.5
7,Long,2023-12-19 21:05:00,4811.75,2023-12-20 16:35:00,4824.75,No,2600.0,12.5
9,Short,2023-12-20 16:35:00,4824.75,2023-12-20 16:35:00,4768.5,No,11250.0,12.5
11,Long,2023-12-20 21:00:00,4768.5,2023-12-20 21:55:00,4749.75,Yes,-3750.0,12.5
13,Short,2023-12-21 04:00:00,4761.25,2023-12-21 09:10:00,4774.25,Yes,-2600.0,12.5
15,Long,2023-12-21 12:35:00,4770.5,2023-12-21 19:15:00,4756.25,Yes,-2850.0,12.5
17,Short,2023-12-21 22:45:00,4796.75,2023-12-21 22:45:00,4789.75,No,1400.0,12.5
19,Long,2023-12-22 03:45:00,4789.75,2023-12-22 15:25:00,4806.25,No,3300.0,12.5
21,Short,2023-12-22 15:25:00,4806.25,2023-12-22 15:45:00,4819.0,Yes,-2550.0,12.5
23,Long,2023-12-22 19:55:00,4810.5,2023-12-22 20:15:00,4797.5,Yes,-2600.0,12.5
25,Short,2023-12-28 01:25:00,4836.0,2023-12-28 01:25:00,4840.25,No,-850.0,12.5
27,Long,2023-12-28 07:00:00,4840.25,2023-12-29 16:30:00,4827.75,Yes,-2500.0,12.5
29,Short,2023-12-29 22:05:00,4814.25,2024-01-02 09:30:00,4827.5,Yes,-2650.0,12.5
31,Long,2024-01-02 11:05:00,4815.5,2024-01-02 12:15:00,4798.25,Yes,-3450.0,12.5
33,Short,2024-01-03 02:10:00,4786.0,2024-01-03 02:10:00,4784.0,No,400.0,12.5
35,Long,2024-01-03 05:40:00,4784.0,2024-01-03 13:00:00,4770.75,Yes,-2650.0,12.5
37,Short,2024-01-03 20:25:00,4768.75,2024-01-03 20:25:00,4739.75,No,5800.0,12.5
39,Long,2024-01-04 21:15:00,4739.75,2024-01-05 07:30:00,4726.5,Yes,-2650.0,12.5
41,Short,2024-01-05 15:30:00,4736.25,2024-01-05 16:00:00,4753.25,Yes,-3400.0,12.5
43,Long,2024-01-05 20:55:00,4723.5,2024-01-08 02:25:00,4741.75,No,3650.0,12.5
45,Short,2024-01-08 02:25:00,4741.75,2024-01-08 02:25:00,4732.0,No,1950.0,12.5
